family,size,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All
qwen3,14b,8e-07,0.02,400,13608.8,71.84300341296928,37.37373737373738,90.67475360121304,82.15494921330412,79.21653971708379,64.64834920029968,86.87338484111048,72.69999999999999,86.53846153846155,49.92420307560298,1283.2539036591515,0.3895812480842306,0.7633158083704972,0.5254847245519639
qwen3,14b,8e-07,0.02,600,20413.2,72.09897610921502,37.87878787878788,91.81197877179682,82.16490738896634,79.4885745375408,65.5834143676915,87.51285478087031,73.1,84.53947368421053,49.85383131377591,1275.9230915524977,0.5210038656792414,0.7837483787970114,0.6165473249947941
qwen3,14b,8e-07,0.02,800,27217.6,72.09897610921502,35.858585858585855,92.11523881728584,82.0952001593308,79.16213275299239,66.08183540955046,87.28180117643409,72.9,85.8974358974359,51.69251825910531,1259.6786114487252,0.32501111199607574,0.9147594506851555,0.5394650533375592
qwen3,14b,8e-07,0.02,1000,34022.0,72.18430034129693,36.36363636363637,91.73616376042456,82.20474009161521,79.05331882480957,66.32277788268453,87.98371653878377,73.43333333333334,84.19354838709677,46.41067633035066,1257.8236584797985,0.3362820026696422,0.7629208592858965,0.4914234050755528
qwen3,14b,8e-07,0.02,1200,40826.4,72.18430034129693,35.35353535353536,91.12964366944657,82.22465644293966,79.21653971708379,66.43435697881023,87.73892161686547,72.1,84.07643312101911,48.289169611569534,1260.1981477253894,0.23326588723858446,0.7359596491033482,0.4160636188257713
qwen3,14b,8e-07,0.02,1400,47630.8,72.35494880546075,35.858585858585855,91.43290371493556,82.11511651065526,78.89009793253537,66.57404231611844,87.46415067576253,71.43333333333334,84.51612903225806,45.76730302307021,1260.2069470624087,0.20034094357744503,0.7925777007404995,0.4156997643640103
qwen3,14b,8e-07,0.02,1600,54435.2,72.09897610921502,34.84848484848485,91.58453373768006,82.11511651065526,79.16213275299239,66.63306957907162,88.19604205729686,70.96666666666667,84.640522875817,48.11949398799332,1242.382354246262,0.16350335482427905,0.6549321687146407,0.34220474169350146
qwen3,14b,8e-07,0.02,1800,61239.6,72.35494880546075,34.34343434343434,91.58453373768006,82.11511651065526,78.78128400435256,66.77595355978725,86.85715013940788,69.19999999999999,83.86075949367088,46.78538172819926,1249.2710190262158,0.04530402410851596,0.5129399522144893,0.2153534525106881
qwen3,14b,8e-07,0.02,2000,68044.0,72.61092150170649,35.35353535353536,91.73616376042456,82.0852419836686,79.05331882480957,66.77146650055225,87.37422261820858,69.93333333333334,85.06493506493507,46.75816602051667,1281.0460211448017,0.24139929278071698,0.9422406917854772,0.4962507106006298
qwen3,14b,8e-07,0.02,2031,69098.7,72.44027303754265,35.858585858585855,91.58453373768006,82.11511651065526,79.21653971708379,66.74244000563718,87.82884967441943,69.73333333333333,84.2948717948718,47.47191027150157,1231.57728836491,0.25095216181251523,0.5175498634552106,0.3478967805916771
qwen3,14b,8e-07,0.04,200,17303.2,69.53924914675767,37.37373737373738,87.94541319181198,81.52758414658435,80.19586507072906,57.55592599330421,87.03949963873633,64.73333333333333,70.45454545454545,29.85633586288288,1189.1672343110183,0.11110200706018802,-0.21548233100957823,-0.007655934056090611
qwen3,14b,8e-07,0.04,400,34606.3,71.33105802047781,37.37373737373738,90.82638362395754,81.81637124078868,79.97823721436343,62.39611849487496,86.41377101645855,69.66666666666666,81.73076923076923,43.251373037033694,1228.885529186667,0.27447435629767786,0.0875524822064573,0.2065027657190522
qwen3,14b,8e-07,0.04,600,51909.5,71.75767918088737,37.37373737373738,90.5989385898408,81.88607847042422,79.59738846572361,63.33285873087146,87.51036139664978,67.3,80.76923076923077,43.39388164694189,1250.6892687696063,0.18058715172492448,0.10575147205425454,0.1533741772992263
qwen3,14b,8e-07,0.04,800,69212.6,71.58703071672356,36.36363636363637,91.0538286580743,81.84624576777534,79.70620239390642,63.83741724129948,86.85715013940789,68.3,82.79220779220779,41.98840770930185,1211.5107630416314,0.12242872415811681,-0.07129917754077876,0.051982214449427515
qwen3,14b,8e-07,0.04,1000,86515.8,71.75767918088737,37.87878787878788,90.67475360121304,81.81637124078868,79.4341675734494,64.03036649982081,86.84091543770529,67.13333333333333,81.4935064935065,42.11559574102116,1246.2569705521812,0.14971213916142795,0.11986245945026971,0.1388577101755522
qwen3,14b,8e-07,0.04,1200,103818.9,71.84300341296928,36.36363636363637,90.9021986353298,81.7765385381398,79.5429815016322,63.92879891130908,87.64899355931152,67.83333333333331,82.25806451612904,40.48640431002092,1197.5849522185424,0.08871208291178975,-0.39513157160905,-0.08723106418669745
qwen3,14b,8e-07,0.04,1400,121122.1,72.09897610921502,37.37373737373738,90.37149355572404,81.79645488946426,79.5429815016322,63.99090232096722,87.32801189732133,69.46666666666667,80.57324840764332,40.84027421435706,1216.7644575462018,0.10116088919073198,-0.12378042294182967,0.01936404841525501
qwen3,14b,8e-07,0.04,1600,138425.2,72.01365187713311,36.86868686868687,90.44730856709629,81.7665803624776,79.4885745375408,64.03970702144217,87.81510835693737,67.9,82.46753246753246,39.33088223117552,1224.193352572841,0.040192263419454796,-0.10761642011813703,-0.013556348776033152
qwen3,14b,8e-07,0.04,1800,155728.4,71.9283276450512,37.37373737373738,90.7505686125853,81.7765385381398,79.4341675734494,64.0220840448364,87.70894559768082,67.06666666666666,83.01282051282051,40.38945613404674,1234.3682542107013,0.10239522124218248,-0.01958634392701257,0.05803828845338428
