family,size,dataset,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,Z-Macro
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,336,2427.3,56.996587030716725,24.242424242424242,30.932524639878693,67.4268074088827,75.35364526659413,47.37762612585455,64.46068653395214,51.766666666666666,50.32258064516129,5.4063203609073165,744.941263168897,-0.45129351722059846,-0.33904017279324045,-0.41047411924701377,-0.39516684500691945
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,384,2774.0,56.655290102389074,21.71717171717172,31.69067475360121,67.5363473411671,75.24483133841132,47.35952507269591,64.53437988980349,50.49999999999999,53.61842105263158,4.45008636659167,754.9185613419227,-0.6039489999712183,-0.6162493148561807,-0.6084218417475683,-0.6100991574136996
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,432,3120.8,57.16723549488054,22.22222222222222,31.766489764973464,67.33718382792271,75.35364526659413,47.43072680858087,65.39365550073805,50.7,51.98675496688742,4.257371775809534,798.8319127720799,-0.5743281254606968,-0.40939637393560374,-0.5143529430879357,-0.4918622496981503
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,478,3453.1,56.655290102389074,21.71717171717172,31.99393479909022,67.4268074088827,75.40805223068553,47.43704850592137,64.55061459150609,47.83333333333333,56.41891891891891,5.073182338449947,740.962940661565,-0.6938196977419384,-0.6741205686801529,-0.6866563780831073,-0.6839701332110457
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,48,345.3,57.16723549488054,21.71717171717172,34.26838514025777,67.35710017924717,75.46245919477693,47.47417933600852,64.94778299356818,47.99999999999999,52.5974025974026,4.766337216436681,763.7222451513451,0.3336409657151801,0.8476560613130184,0.5205555459325759,0.5906485135140993
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,96,690.6,56.8259385665529,23.737373737373737,31.15996967399545,67.5363473411671,75.46245919477693,47.377569968483456,63.807475276710235,50.93333333333333,50.33333333333333,4.707309550112478,750.4712579157723,-0.10515559429896952,0.10443910534506845,-0.028939339882955717,-0.00035824447695053524
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,144,1035.8,57.16723549488054,22.22222222222222,31.53904473085671,67.69567815176259,75.73449401523395,47.6610916204385,63.888648785223204,54.13333333333333,58.108108108108105,5.621373184646437,766.984682675242,0.3907947486826314,1.5936333076035478,0.8281905882902373,0.9922140281430896
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,192,1381.1,57.5938566552901,22.22222222222222,31.842304776345713,67.79525990838479,75.84330794341676,47.43855885069612,65.0152151845991,52.73333333333333,63.42281879194631,6.360424095314722,747.3456921478912,0.7706682136153656,0.6971333852053359,0.7439282760117184,0.7339007994103508
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,240,1726.4,56.996587030716725,24.242424242424242,32.52463987869598,67.9147580163314,76.16974972796517,47.554893124652736,65.7558611151744,56.03333333333333,69.38775510204081,7.181938125924811,771.2532596377262,0.8926963127125686,1.3752267040945438,1.0681619095787414,1.1339615084035561
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,288,2071.7,57.76450511945392,21.21212121212121,32.90371493555724,67.92471619199362,75.95212187159956,47.55310666319432,64.3545237746956,56.29999999999999,59.863945578231295,7.364667976135533,757.4633788728974,0.5926856188016221,0.8363984719542378,0.6813084744934824,0.7145420453779299
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,336,2416.9,58.02047781569966,26.262626262626267,33.81349507202426,67.97450707030472,75.89771490750816,47.68310769718588,65.38866873229698,55.766666666666666,67.48251748251748,7.419696248430103,746.8703310456249,1.3783239797580453,0.9092876112365578,1.2077653002956863,1.1438057954973015
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,384,2762.2,57.508532423208194,22.727272727272727,34.11675511751327,67.99442342162916,76.38737758433079,47.56294125825474,64.38449979388024,54.0,63.94557823129252,7.524928098313974,789.1062404733068,0.758870144384283,1.103903231104658,0.8843367213735103,0.9313866877444705
